,canDelete,devicesDistance,frequency,id,origin,signal,sitesDistance,ssid,state,type,from.device.attributes.series,from.device.identification.authorized,from.device.identification.category,from.device.identification.displayName,from.device.identification.id,from.device.identification.model,from.device.identification.name,from.device.identification.role,from.device.identification.type,from.device.overview.antenna.gain,from.device.overview.antenna.name,from.device.overview.channelWidth,from.device.status,from.interface.identification.description,from.interface.identification.displayName,from.interface.identification.name,from.interface.identification.type,from.interface.statistics.airTimeScore,from.interface.statistics.downlinkCapacity,from.interface.statistics.downlinkUtilization,from.interface.statistics.linkScore,from.interface.statistics.linkScoreHint,from.interface.statistics.rxRate,from.interface.statistics.score,from.interface.statistics.scoreMax,from.interface.statistics.signalChain0,from.interface.statistics.signalChain1,from.interface.statistics.signalLocal,from.interface.statistics.signalRemote,from.interface.statistics.signalRemoteChain0,from.interface.statistics.signalRemoteChain1,from.interface.statistics.theoreticalDownlinkCapacity,from.interface.statistics.theoreticalMaxDownlinkCapacity,from.interface.statistics.theoreticalMaxUplinkCapacity,from.interface.statistics.theoreticalUplinkCapacity,from.interface.statistics.txRate,from.interface.statistics.uplinkCapacity,from.interface.statistics.uplinkUtilization,from.interface.status.enabled,from.interface.status.plugged,from.interface.status.status,from.site.identification.id,from.site.identification.name,from.site.identification.status,from.site.identification.type,to.device.attributes.series,to.device.identification.authorized,to.device.identification.category,to.device.identification.displayName,to.device.identification.id,to.device.identification.model,to.device.identification.name,to.device.identification.role,to.device.identification.type,to.device.overview.antenna.gain,to.device.overview.antenna.name,to.device.overview.channelWidth,to.device.status,to.interface.identification.description,to.interface.identification.displayName,to.interface.identification.name,to.interface.identification.type,to.interface.statistics.airTimeScore,to.interface.statistics.downlinkCapacity,to.interface.statistics.downlinkUtilization,to.interface.statistics.linkScore,to.interface.statistics.linkScoreHint,to.interface.statistics.rxRate,to.interface.statistics.score,to.interface.statistics.scoreMax,to.interface.statistics.signalChain0,to.interface.statistics.signalChain1,to.interface.statistics.signalLocal,to.interface.statistics.signalRemote,to.interface.statistics.signalRemoteChain0,to.interface.statistics.signalRemoteChain1,to.interface.statistics.theoreticalDownlinkCapacity,to.interface.statistics.theoreticalMaxDownlinkCapacity,to.interface.statistics.theoreticalMaxUplinkCapacity,to.interface.statistics.theoreticalUplinkCapacity,to.interface.statistics.txRate,to.interface.statistics.uplinkCapacity,to.interface.statistics.uplinkUtilization,to.interface.status.enabled,to.interface.status.plugged,to.interface.status.status,to.site.identification.id,to.site.identification.name,to.site.identification.status,to.site.identification.type,to.device.overview.antenna,to.site,from.device.overview.antenna,to.device.attributes,from.device.attributes,from.site
673,False,2550.0,5165.0,e29a6538-fcd1-38f4-bfce-7d7f3b607dc3,unms,-43.0,2442.0,LCWNetDonJose5Northeast,active,wireless,AC,True,wireless,DonJose5Northeast,dbab7eb8-461a-4e3d-bf7d-d83a118928e1,RP-5AC-Gen2,DonJose5Northeast,ap,airMax,34.0,RD-5G-34,20.0,active,,wlan0,wlan0,wlan,1.0,146640000.0,0.11855275504637207,0.962823,This link is great.,756456.0,0.93325,1.0,,,,,,,,,,,17384576.0,149760000.0,0.005051121794871795,True,True,active,4521ece7-ebb9-44f1-85d3-7bd1d2a1fd3a,DonJose,active,site,AC,True,wireless,shilo-road-1445,414f02ce-15ce-4129-a465-294f49d9e32f,LBE-5AC-Gen2,shilo-road-1445,station,airMax,23.0,23,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.0006985695006747638,0.95,This link is great.,89808.0,1.0,1.0,-47.0,-49.0,-45.0,-53.0,-56.0,-56.0,,,,,103528.0,149760000.0,0.0005996794871794872,True,True,active,941a5cce-e7e4-414b-a143-a34312825fda,shilo-road-1445,active,endpoint,,,,,,
674,False,4350.0,5165.0,054a166a-0e03-3610-a139-022ebb900a08,unms,-63.0,4196.0,LCWNetDonJose5Northeast,active,wireless,AC,True,wireless,DonJose5Northeast,dbab7eb8-461a-4e3d-bf7d-d83a118928e1,RP-5AC-Gen2,DonJose5Northeast,ap,airMax,34.0,RD-5G-34,20.0,active,,wlan0,wlan0,wlan,1.0,106600000.0,0.16308232645403378,0.962823,This link is great.,756456.0,0.93325,1.0,,,,,,,,,,,17384576.0,122200000.0,0.006190310965630114,True,True,active,4521ece7-ebb9-44f1-85d3-7bd1d2a1fd3a,DonJose,active,site,AC,True,wireless,new-mexico-14-1,5f6a7542-f6e5-46aa-b91a-d00a22a622b7,PBE-5AC-500,new-mexico-14-1,station,airMax,27.0,PBE-5AC-500,20.0,active,,wlan0,wlan0,wlan,1.0,87750000.0,2.9082621082621084e-05,0.9,This link is great.,29696.0,0.703,1.0,-64.0,-68.0,-63.0,-65.0,-66.0,-71.0,,,,,2552.0,149760000.0,0.0001982905982905983,True,True,active,0687aa85-17c3-45b4-b3ac-b4761c9f8037,new-mexico-14-1,active,endpoint,,,,,,
675,False,2100.0,5740.0,be2e641d-038d-3ddb-9e9c-406a06f2f8a1,unms,-46.0,1922.0,LCWNetLosHornos5,active,wireless,AC,True,wireless,LosHornos5,c8ad4391-b3a6-42b2-9e66-68fe0fc88923,RP-5AC-Gen2,LosHornos5,ap,airMax,21.0,AM-5AC21-60,20.0,active,,wlan0,wlan0,wlan,1.0,141960000.0,0.032191546914623836,0.969852,This link is great.,567000.0,0.945188,1.0,,,,,,,,,,,4569912.0,149760000.0,0.0037860576923076923,True,True,active,108e9ec0-4eba-4f98-97fc-72cde52cc51f,MillerBarn,active,site,AC,True,wireless,los-hornos-road-975,93c9f9fd-42c2-4042-9665-d7768cab44b4,PBE-5AC-Gen2,los-hornos-road-975,station,airMax,25.0,400,20.0,active,,wlan0,wlan0,wlan,1.0,140400000.0,0.00018803418803418803,0.999,This link is great.,106456.0,1.0,1.0,-51.0,-48.0,-46.0,-49.0,-53.0,-52.0,,,,,26400.0,149760000.0,0.0007108440170940171,True,True,active,960fef0b-0e55-408e-9909-9add2d5ef68b,los-hornos-road-975,active,endpoint,,,,,,
676,False,1350.0,5740.0,11fd1b00-41ff-38fa-9eac-6641a78c5628,unms,-39.0,1272.0,LCWNetLosHornos5,active,wireless,AC,True,wireless,LosHornos5,c8ad4391-b3a6-42b2-9e66-68fe0fc88923,RP-5AC-Gen2,LosHornos5,ap,airMax,21.0,AM-5AC21-60,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.030836113360323887,0.969852,This link is great.,567000.0,0.945188,1.0,,,,,,,,,,,4569912.0,149760000.0,0.0037860576923076923,True,True,active,108e9ec0-4eba-4f98-97fc-72cde52cc51f,MillerBarn,active,site,AC,True,wireless,los-hornos-10,32295624-9467-403f-adfb-ca3c90bd104f,PBE-5AC-500,los-hornos-10,station,airMax,27.0,PBE-5AC-500,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.0001884480431848853,0.999,This link is great.,22480.0,1.0,1.0,-43.0,-41.0,-39.0,-43.0,-46.0,-47.0,,,,,27928.0,149760000.0,0.0001501068376068376,True,True,active,f0b264c8-7c9b-4677-9c29-1940b4257575,los-hornos-10,active,endpoint,,,,,,
677,False,1500.0,5705.0,bd076176-d41d-383b-9477-5e0a63ada86d,unms,-62.0,1633.0,LCWNetTortugaSW5,active,wireless,AC,True,wireless,TortugaSW5,16db0a30-9b42-4feb-bdf4-ee52f5b35bfd,RP-5AC-Gen2,TortugaSW5,ap,airMax,19.0,AM-5G19-120,20.0,active,,wlan0,wlan0,wlan,1.0,137280000.0,0.04736923076923077,0.94763,This link is great.,465088.0,0.9621,1.0,,,,,,,,,,,6502848.0,149760000.0,0.0031055555555555554,True,True,active,0bf68aed-69a4-45fb-8e6f-acd5f8b8e931,Tortuga,active,site,AC,True,wireless,barbaria-6,c20454c9-81ad-40b2-9a27-92d4963ff3d1,PBE-5AC-400,barbaria-6,station,airMax,25.0,400,20.0,active,,wlan0,wlan0,wlan,1.0,141960000.0,0.00013553113553113554,0.977,This link is great.,20280.0,0.934,1.0,-64.0,-66.0,-62.0,-53.0,-55.0,-57.0,,,,,19240.0,149760000.0,0.00013541666666666666,True,True,active,fc2b4847-34a8-4809-9ac4-b4917d9e0eef,barbaria-6,active,endpoint,,,,,,
678,False,600.0,5705.0,bf779ab4-4de2-333a-acb2-31c8c734a091,unms,-52.0,341.0,LCWNetTortugaSW5,active,wireless,AC,True,wireless,TortugaSW5,16db0a30-9b42-4feb-bdf4-ee52f5b35bfd,RP-5AC-Gen2,TortugaSW5,ap,airMax,19.0,AM-5G19-120,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.04387886639676113,0.94763,This link is great.,465088.0,0.9621,1.0,,,,,,,,,,,6502848.0,149760000.0,0.0031055555555555554,True,True,active,0bf68aed-69a4-45fb-8e6f-acd5f8b8e931,Tortuga,active,site,AC,True,wireless,owl-creek-3,1af228c8-892e-4d27-9363-c15e3f7b8140,PBE-5AC-300,owl-creek-3,station,airMax,22.0,300,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.00015309041835357624,0.999,This link is great.,20200.0,1.0,1.0,-52.0,-57.0,-51.0,-54.0,-55.0,-60.0,,,,,22688.0,149760000.0,0.00013488247863247864,True,True,active,1d99bdb6-c194-4f82-8b73-b0b35187598c,owl-creek-3,active,endpoint,,,,,,
679,False,600.0,5535.0,ed7ed36d-99b9-3a4b-8413-3d10c3dc74df,unms,-64.0,451.0,LCWNetDancingHorse,active,wireless,AC,True,wireless,DancingHorseAP,5d8b1144-47c3-4c5e-ab6e-9d36b745d5a2,PBE-5AC-300,DancingHorseAP,ap,airMax,22.0,300,10.0,active,,wlan0,wlan0,wlan,1.0,37700000.0,0.032943236074270556,0.85437,This link is fine.,107000.0,0.591,1.0,-73.0,-66.0,-65.0,-64.0,-68.0,-66.0,,,,,1241960.0,39650000.0,0.0026986128625472888,True,True,active,a7675e97-5dde-4d84-94bd-801af46765dd,DancingHorse,active,site,AC,True,wireless,dancing-horse-4,30ca59ad-fcfa-4079-8e02-c006e6fe659b,PBE-5AC-300,dancing-horse-4,station,airMax,22.0,300,10.0,active,,wlan0,wlan0,wlan,1.0,37700000.0,0.0042374535809018565,0.863,This link is fine.,1099616.0,0.591,1.0,-68.0,-65.0,-63.0,-65.0,-72.0,-66.0,,,,,159752.0,48360000.0,0.022738130686517782,True,True,active,2076d527-b7f8-44e0-91ee-2f2acb3b7d22,dancing-horse-4,active,endpoint,,,,,,
680,False,1500.0,5740.0,e8903c30-efb8-31ca-9eba-2fc6407b51e9,unms,-40.0,1341.0,LCWNetLosHornos5,active,wireless,AC,True,wireless,LosHornos5,c8ad4391-b3a6-42b2-9e66-68fe0fc88923,RP-5AC-Gen2,LosHornos5,ap,airMax,21.0,AM-5AC21-60,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.030836113360323887,0.969852,This link is great.,567000.0,0.945188,1.0,,,,,,,,,,,4569912.0,149760000.0,0.0037860576923076923,True,True,active,108e9ec0-4eba-4f98-97fc-72cde52cc51f,MillerBarn,active,site,AC,True,wireless,los-hornos-road-995,fdaccd22-afc2-446c-81a7-a28bfa6ab907,PBE-5AC-Gen2,los-hornos-road-995,station,airMax,25.0,400,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.00023384615384615384,0.999,This link is great.,50448.0,1.0,1.0,-43.0,-42.0,-39.0,-47.0,-51.0,-50.0,,,,,34656.0,149760000.0,0.00033685897435897436,True,True,active,c9a47bde-836f-43be-a3ef-bcab41198350,los-hornos-road-995,active,endpoint,,,,,,
681,False,450.0,5240.0,321e4739-5fb4-3f48-8bee-7cec90bd8cd2,unms,-52.0,,LBRNetLaBarbaria,active,wireless,AC,True,wireless,LBRNetLaBarbariaAP,e5a4b006-7a86-4c97-9f19-b1227e7ab57e,LAP-GPS,LBRNetLaBarbariaAP,ap,airMax,17.0,17,20.0,active,,wlan0,wlan0,wlan,,0.0,,0.955,This link is great.,147552.0,,,,,-45.0,-55.0,,,,,,,3810808.0,0.0,,True,True,active,a8e5aefe-d581-45f3-9d17-6cdc338a5cc6,la-barbaria-road-1298,active,endpoint,AC,True,wireless,LBRNetCasaGrandeUplink,92d805be-23d1-489b-9955-648163efdfc0,NBE-5AC-Gen2,LBRNetCasaGrandeUplink,station,airMax,19.0,NBE-5AC-G2,20.0,active,,wlan0,wlan0,wlan,,0.0,,0.95,This link is great.,8190400.0,,,-55.0,-55.0,-52.0,-42.0,-44.0,-46.0,,,,,340568.0,0.0,,True,True,active,a8e5aefe-d581-45f3-9d17-6cdc338a5cc6,la-barbaria-road-1298,active,endpoint,,,,,,
682,False,3000.0,5670.0,c33abac1-776b-37c9-8ec6-c6de35a4ac51,unms,-57.0,2886.0,LCWNetVailEast5,active,wireless,AC,True,wireless,VailEast5,81abc461-a561-467a-a22c-db129d08b87b,R5AC-PRISM,VailEast5,ap,airMax,22.0,AM-5AC22-45,20.0,active,,wlan0,wlan0,wlan,1.0,145080000.0,0.06537893575958093,0.96163,This link is great.,615648.0,0.96525,1.0,,,-54.0,-54.0,,,,,,,9485176.0,148200000.0,0.0041541700404858295,True,True,active,00e72a96-9bcd-402b-9301-0ad7e43d3fd3,Vail,active,site,AC,True,wireless,winding-road,e65b3f33-4758-4ad6-94f8-ca593c1104b0,PBE-5AC-620,winding-road,station,airMax,29.0,PBE-5AC-620,20.0,active,,wlan0,wlan0,wlan,1.0,145080000.0,0.00018433967466225531,0.999,This link is great.,21720.0,1.0,1.0,-60.0,-57.0,-55.0,-55.0,-58.0,-59.0,,,,,26744.0,140400000.0,0.0001547008547008547,True,True,active,c1397a8c-1196-4c15-8970-5b9b4f3329c4,winding-road,active,endpoint,,,,,,
